1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","[J.K. Rowling, Mary GrandPré]"
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","[J.K. Rowling, Mary GrandPré]"
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","[J.K. Rowling, Mary GrandPré]"
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",[J.K. Rowling]
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","[J.K. Rowling, Mary GrandPré, Adolfo Muñoz García y Nieves Martín Azofra]"
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","[J.K. Rowling, Mary GrandPré]"
7,"The Harry Potter Collection (Harry Potter, #1-6)","[J.K. Rowling, Mary GrandPré]"
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","[J.K. Rowling, Mary GrandPré]"
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",[W. Frederick Zimmerman]
10,"Harry Potter Collection (Harry Potter, #1-6)",[J.K. Rowling]
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",[Douglas Adams]
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",[Douglas Adams]
13,The Ultimate Hitchhiker's Guide to the Galaxy,[Douglas Adams]
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",[Douglas Adams]
15,The Hitchhiker's Guide to Lean: Lessons from the Road,"[Jamie Flinchbaugh, Andy Carlino, Dennis Pawley]"
16,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","[Douglas Adams, Stephen Fry]"
17,"The Hitchhiker's Guide to the Galaxy: Quandary Phase (Hitchhiker's Guide: Radio Play, #4)","[Douglas Adams, Simon  Jones, Geoffrey McGivern]"
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),[Douglas Adams]
19,"The Hitchhiker's Guide to the Galaxy: Quintessential Phase (Hitchhiker's Guide: Radio Play, #5)","[Douglas Adams, Simon  Jones, Geoffrey McGivern]"
